FoldablePackagePolicy,2021121601,,
1,com.vkontakte.android,displayCompat,b
2,kr.co.d2.dominos,displayCompat,b
3,com.fungames.sniper3d,displayCompat,b
4,superheros.stickers,displayCompat,b
5,com.apple.qrcode.reader,displayCompat,b
6,cheehoon.ha.particulateforecaster,displayCompat,b
7,com.snaps.mobile.kr,displayCompat,b
8,com.idongbusmart,displayCompat,b
9,com.ssm.asiana,displayCompat,b
10,com.addswhilessuffers.binds,displayCompat,b
11,com.playmini.miniworld,displayCompat,b
12,com.qihoo.security,displayCompat,b
13,com.sweetfuirt.candy,displayCompat,b
14,com.hippogames.ludosaga,displayCompat,b
15,com.oliveyoung,displayCompat,b
16,kr.go.nts.android,displayCompat,b
17,com.gravity.rom.aos,displayCompat,b
18,com.gsretail.android.smapp,displayCompat,b
19,game.bubble.shooter.dragon.pop,displayCompat,b
20,com.puzzlegame.puzzledom,displayCompat,b
21,bubble.shoot.bubbles.game.saga.world,displayCompat,b
22,com.cooyostudio.marble.blast,displayCompat,b
23,bubble.shooter.shooting.shoot.game,displayCompat,b
24,com.appwallet.faceprojector,displayCompat,b
25,multi.function.scientific.calculate.photomath.calculator,displayCompat,b
26,kr.go.cdc.nip.android,displayCompat,b
27,kr.co.psynet,displayCompat,b
28,com.percent.mybest3,displayCompat,b
29,com.ftt.hero_gl_4kakao,displayCompat,b
30,com.walmart.grocery,displayCompat,b
31,com.supersolid.penguin,displayCompat,b
32,com.robtopx.geometryjumplite,displayCompat,b
33,com.jewelblast.puzzlelegend,displayCompat,b
34,com.kftc.bankpay.android,displayCompat,b
35,com.tbegames.and.best_monster_racing,displayCompat,b
36,com.pub.fm,displayCompat,b
37,app.magic.cleaner.boost,displayCompat,b
38,com.sandboxol.indiegame.skywar,displayCompat,b
39,com.skycap.Kids_Wooden_Jigsaw,displayCompat,b
40,com.sandboxol.blockymods,displayCompat,b
41,com.iconnect.app.pts.a,displayCompat,b
42,com.sandboxol.indiegame.bedwar,displayCompat,b
43,com.ideacellular.myidea,displayCompat,b
44,com.fatcat.BraidedHairstylesSalon,displayCompat,b
45,com.webling.hungryjacks,displayCompat,b
46,au.com.realestate.app,displayCompat,b
47,com.funplus.familyfarm,displayCompat,b
48,panda.keyboard.emoji.theme,displayCompat,b
49,com.crsh.flyingrobot.carwars,displayCompat,b
50,com.atomic.apps.ringtone.cutter,displayCompat,b
51,gr.pixelab.sketch,displayCompat,b
52,com.FDGEntertainment.redball4.gp,displayCompat,b
53,com.fatcat.weddingmakesalon,displayCompat,b
54,com.bestvideostudio.movieeditor,displayCompat,b
55,com.youcam.selfiefilters.makeup,displayCompat,b
56,com.fatcat.HairDesignerSalon,displayCompat,b
57,com.game5mobile.lineandwater,displayCompat,b
58,com.xvideostudio.videoeditor,displayCompat,b
59,com.google.android.apps.androidify,displayCompat,b
60,com.avg.cleaneri,displayCompat,b
61,de.myhermes.app,displayCompat,b
62,com.outfit7.talkingben,displayCompat,b
63,com.gf.client,displayCompat,b
64,cn.damai,displayCompat,b
65,com.kingreader.framework.hd,displayCompat,b
66,me.peiwo.peiwo,displayCompat,b
67,cn.cisc,displayCompat,b
68,com.dianping.dppos,displayCompat,b
69,com.dpx.kujiang,displayCompat,b
70,com.woaika.kashen,displayCompat,b
71,com.itings.myradio,displayCompat,b
72,dji.pilot,displayCompat,b
73,com.huanshou.taojj,displayCompat,b
74,com.ibox.flashlight,displayCompat,b
75,com.qicai.translate,displayCompat,b
76,com.gartic.Gartic,displayCompat,b
77,br.com.nextel.ecommerce,displayCompat,b
78,com.tap4fun.reignofwar,displayCompat,b
79,com.mobimidia.climaTempo,displayCompat,b
80,com.fatcat.CookingPastaInTheKitchen,displayCompat,b
81,com.cmplay.tiles2,displayCompat,b
82,net.zhuoweizhang.mcpelauncher,displayCompat,b
83,ru.ok.android,displayCompat,b
84,com.phototovideomaker.slideshowmaker.MovieMaker,displayCompat,b
85,com.nebula.mamu,displayCompat,b
86,com.kidgamestudio.keepyourhouseclean,displayCompat,b
87,com.ichinait.gbpassenger,displayCompat,b
88,com.randomlogicgames.wordsearch,displayCompat,b
89,org.xbmc.kodi,displayCompat,b
90,com.fatcat.SuperstarMakeupProm,displayCompat,b
91,com.aps.crazy.tricky.trail.mega.bike.master,displayCompat,b
92,com.pixonic.wwr,displayCompat,b
93,com.jamsco.songvideomakerphotovideomaker,displayCompat,b
94,net.wooga.bubbleisland2,displayCompat,b
